case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 00:13:36.509,Carla,40,normal,normal case
0,Activity C,2020/06/15 00:15:36.509,Sacha,90,normal,normal case
0,Activity K,2020/06/15 00:16:36.509,Zoe,20,normal,normal case
0,Activity S,2020/06/15 00:17:36.509,Orlando,40,normal,normal case
0,Activity L,2020/06/15 00:18:36.509,Uma,60,normal,normal case
0,Activity T,2020/06/15 00:19:36.509,Isaac,30,normal,normal case
0,Activity D,2020/06/15 00:20:36.509,Thomas,70,normal,normal case
0,Activity U,2020/06/15 00:21:36.509,Troy,90,normal,normal case
0,Activity V,2020/06/15 00:22:36.509,Owen,40,normal,normal case
0,Activity B,2020/06/15 00:24:36.509,Jim,70,normal,normal case
1,Activity A,2020/06/15 00:14:16.831,Carla,80,normal,normal case
1,Activity C,2020/06/15 00:16:16.831,Hugo,90,normal,normal case
1,Activity E,2020/06/15 00:17:16.831,Rachel,70,normal,normal case
1,Activity S,2020/06/15 00:18:16.831,Jim,70,normal,normal case
1,Activity T,2020/06/15 00:19:16.831,Fred,30,normal,normal case
1,Activity I,2020/06/15 00:21:16.831,Carla,90,normal,normal case
1,Activity G,2020/06/15 00:22:16.831,Drew,40,normal,normal case
1,Activity U,2020/06/15 00:23:16.831,Will,90,normal,normal case
1,Activity H,2020/06/15 00:24:16.831,Gerald,50,normal,normal case
1,Activity V,2020/06/15 00:26:16.831,Owen,40,normal,normal case
1,Activity F,2020/06/15 00:27:16.831,Dwight,10,normal,normal case
1,Activity D,2020/06/15 00:28:16.831,Thomas,30,normal,normal case
1,Activity B,2020/06/15 00:30:16.831,Isaac,70,normal,normal case
2,Activity A,2020/06/15 00:31:17.754,Hugo,40,normal,normal case
2,Activity C,2020/06/15 00:33:17.754,Hannah,90,normal,normal case
2,Activity K,2020/06/15 00:34:17.754,Robert,70,normal,normal case
2,Activity L,2020/06/15 00:35:17.754,Stanley,60,normal,normal case
2,Activity S,2020/06/15 00:36:17.754,Orlando,70,normal,normal case
2,Activity T,2020/06/15 00:37:17.754,Willow,30,normal,normal case
2,Activity U,2020/06/15 00:38:17.754,Will,90,normal,normal case
2,Activity D,2020/06/15 00:39:17.754,Fadi,70,normal,normal case
2,Activity V,2020/06/15 00:40:17.754,Daniel,40,normal,normal case
