case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 02:25:51.962,Victoria,60,normal,normal case
0,Activity C,2020/06/15 02:26:51.962,Wallace,80,normal,normal case
0,Activity D,2020/06/15 02:27:51.962,Ashton,80,normal,normal case
0,Activity B,2020/06/15 02:28:51.962,Uma,40,normal,normal case
1,Activity A,2020/06/15 02:34:34.157,Victoria,60,normal,normal case
1,Activity C,2020/06/15 02:35:34.157,Wallace,90,normal,normal case
1,Activity D,2020/06/15 02:36:34.157,David,80,normal,normal case
1,Activity B,2020/06/15 02:37:34.157,Uma,40,normal,normal case
2,Activity A,2020/06/15 02:51:04.054,Pamela,60,normal,normal case
2,Activity E,2020/06/15 02:52:04.054,Denzel,60,normal,normal case
2,Activity N,2020/06/15 02:53:04.054,Nicholas,70,normal,normal case
2,Activity O,2020/06/15 02:54:04.054,Willow,70,normal,normal case
2,Activity F,2020/06/15 02:55:04.054,Ashton,70,normal,normal case
2,Activity T,2020/06/15 02:56:04.054,Amy,30,normal,normal case
2,Activity Z,2020/06/15 02:57:04.054,Uma,10,normal,normal case
2,Activity AA,2020/06/15 02:58:04.054,Nicholas,10,normal,normal case
2,Activity U,2020/06/15 02:59:04.054,Seth,30,normal,normal case
2,Activity AF,2020/06/15 03:00:04.054,Vanessa,70,normal,normal case
2,Activity AH,2020/06/15 03:02:04.054,Guy,60,normal,normal case
2,Activity AI,2020/06/15 03:03:04.054,Philip,70,normal,normal case
2,Activity AJ,2020/06/15 03:04:04.054,Bruce,20,normal,normal case
2,Activity AK,2020/06/15 03:05:04.054,Rachel,40,normal,normal case
2,Activity AQ,2020/06/15 03:07:04.054,Emil,60,normal,normal case
2,Activity AO,2020/06/15 03:08:04.054,Fred,40,normal,normal case
2,Activity AP,2020/06/15 03:09:04.054,Henry,80,normal,normal case
2,Activity AN,2020/06/15 03:10:04.054,Chris,60,normal,normal case
2,Activity AM,2020/06/15 03:11:04.054,Anna,40,normal,normal case
2,Activity AL,2020/06/15 03:13:04.054,Guy,70,normal,normal case
2,Activity AG,2020/06/15 03:15:04.054,Robert,80,normal,normal case
2,Activity B,2020/06/15 03:16:04.054,Uma,50,normal,normal case
3,Activity A,2020/06/15 03:03:10.677,Paul,60,normal,normal case
3,Activity E,2020/06/15 03:04:10.677,Will,60,normal,normal case
3,Activity G,2020/06/15 03:05:10.677,Zayn,30,normal,normal case
3,Activity I,2020/06/15 03:07:10.677,David,30,normal,normal case
3,Activity J,2020/06/15 03:08:10.677,Robert,90,normal,normal case
3,Activity K,2020/06/15 03:09:10.677,Hugo,80,normal,normal case
